"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Precious (Noble) Metal Ores ","840205"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Stone and Clay","840206"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)","840207"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Mining and Extraction of Zinc Ores","840208"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Primary Mining and Extraction Processes of Mineral Resources","Primary Mining and Extraction of Mineral Resources not elsewhere classified","840299"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Alumina Production","840301"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Beneficiation of Bauxite and Aluminium Ores (excl. Alumina Production)","840302"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Beneficiation or Dressing of Iron Ores","840303"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)","840304"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores)","840305"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","Production of Unrefined Precious Metal Ingots and Concentrates","840306"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","First Stage Treatment of Ores and Minerals","First Stage Treatment of Ores and Minerals not elsewhere classified","840399"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)","849801"
