Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Biological Sciences,Physiology,Animal Physiology - Systems,060603
Biological Sciences,Physiology,Comparative Physiology,060604
Biological Sciences,Physiology,Physiology not elsewhere classified,060699
Biological Sciences,Plant Biology,Phycology (incl. Marine Grasses),060701
Biological Sciences,Plant Biology,Plant Cell and Molecular Biology,060702
Biological Sciences,Plant Biology,Plant Developmental and Reproductive Biology,060703
Biological Sciences,Plant Biology,Plant Pathology,060704
Biological Sciences,Plant Biology,Plant Physiology,060705
Biological Sciences,Plant Biology,Plant Biology not elsewhere classified,060799
Biological Sciences,Zoology,Animal Behaviour,060801
Biological Sciences,Zoology,Animal Cell and Molecular Biology,060802
Biological Sciences,Zoology,Animal Developmental and Reproductive Biology,060803
Biological Sciences,Zoology,Animal Immunology,060804
Biological Sciences,Zoology,Animal Neurobiology,060805
Biological Sciences,Zoology,Animal Physiological Ecology,060806
Biological Sciences,Zoology,Animal Structure and Function,060807
Biological Sciences,Zoology,Invertebrate Biology,060808
Biological Sciences,Zoology,Vertebrate Biology,060809
Biological Sciences,Zoology,Zoology not elsewhere classified,060899
Biological Sciences,Other Biological Sciences,Forensic Biology,069901
Biological Sciences,Other Biological Sciences,Global Change Biology,069902
Biological Sciences,Other Biological Sciences,Biological Sciences not elsewhere classified,069999
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Agricultural Land Management,070101
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Agricultural Land Planning,070102
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Agricultural Production Systems Simulation,070103
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Agricultural Spatial Analysis and Modelling,070104
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Agricultural Systems Analysis and Modelling,070105
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management","Farm Management, Rural Management and Agribusiness",070106
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Farming Systems Research,070107
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management",Sustainable Agricultural Development,070108
Agricultural And Veterinary Sciences,"Agriculture, Land And Farm Management","Agriculture, Land and Farm Management not elsewhere classified",070199
Agricultural And Veterinary Sciences,Animal Production,Animal Breeding,070201
Agricultural And Veterinary Sciences,Animal Production,Animal Growth and Development,070202
Agricultural And Veterinary Sciences,Animal Production,Animal Management,070203
Agricultural And Veterinary Sciences,Animal Production,Animal Nutrition,070204
Agricultural And Veterinary Sciences,Animal Production,Animal Protection (Pests and Pathogens),070205
Agricultural And Veterinary Sciences,Animal Production,Animal Reproduction,070206
Agricultural And Veterinary Sciences,Animal Production,Humane Animal Treatment,070207
Agricultural And Veterinary Sciences,Animal Production,Animal Production not elsewhere classified,070299
Agricultural And Veterinary Sciences,Crop And Pasture Production,Agro-ecosystem Function and Prediction,070301
Agricultural And Veterinary Sciences,Crop And Pasture Production,Agronomy,070302
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Biochemistry and Physiology,070303
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Biomass and Bioproducts,070304
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Improvement (Selection and Breeding),070305
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Nutrition,070306
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage),070307
Agricultural And Veterinary Sciences,Crop And Pasture Production,"Crop and Pasture Protection (Pests, Diseases and Weeds)",070308
Agricultural And Veterinary Sciences,Crop And Pasture Production,Crop and Pasture Production not elsewhere classified,070399
Agricultural And Veterinary Sciences,Fisheries Sciences,Aquaculture,070401
Agricultural And Veterinary Sciences,Fisheries Sciences,Aquatic Ecosystem Studies and Stock Assessment,070402
Agricultural And Veterinary Sciences,Fisheries Sciences,Fisheries Management,070403
Agricultural And Veterinary Sciences,Fisheries Sciences,Fish Pests and Diseases,070404
Agricultural And Veterinary Sciences,Fisheries Sciences,Fish Physiology and Genetics,070405
Agricultural And Veterinary Sciences,Fisheries Sciences,Post-Harvest Fisheries Technologies (incl. Transportation),070406
Agricultural And Veterinary Sciences,Fisheries Sciences,Fisheries Sciences not elsewhere classified,070499
Agricultural And Veterinary Sciences,Forestry Sciences,Agroforestry,070501
Agricultural And Veterinary Sciences,Forestry Sciences,Forestry Biomass and Bioproducts,070502
Agricultural And Veterinary Sciences,Forestry Sciences,Forestry Fire Management,070503
Agricultural And Veterinary Sciences,Forestry Sciences,Forestry Management and Environment,070504
Agricultural And Veterinary Sciences,Forestry Sciences,"Forestry Pests, Health and Diseases",070505
Agricultural And Veterinary Sciences,Forestry Sciences,Forestry Product Quality Assessment,070506
Agricultural And Veterinary Sciences,Forestry Sciences,Tree Improvement (Selection and Breeding),070507
Agricultural And Veterinary Sciences,Forestry Sciences,Tree Nutrition and Physiology,070508
Agricultural And Veterinary Sciences,Forestry Sciences,Wood Fibre Processing,070509
Agricultural And Veterinary Sciences,Forestry Sciences,Wood Processing,070510
Agricultural And Veterinary Sciences,Forestry Sciences,Forestry Sciences not elsewhere classified,070599
Agricultural And Veterinary Sciences,Horticultural Production,Horticultural Crop Growth and Development,070601
Agricultural And Veterinary Sciences,Horticultural Production,Horticultural Crop Improvement (Selection and Breeding),070602
Agricultural And Veterinary Sciences,Horticultural Production,"Horticultural Crop Protection (Pests, Diseases and Weeds)",070603
Agricultural And Veterinary Sciences,Horticultural Production,Oenology and Viticulture,070604
