Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
History And Archaeology,Historical Studies,North American History,210312
History And Archaeology,Historical Studies,Pacific History (excl. New Zealand and Māori),210313
History And Archaeology,Historical Studies,Historical Studies not elsewhere classified,210399
History And Archaeology,Other History And Archaeology,History and Archaeology not elsewhere classified,219999
Philosophy And Religious Studies,Applied Ethics,Bioethics (human and animal),220101
Philosophy And Religious Studies,Applied Ethics,Business Ethics,220102
Philosophy And Religious Studies,Applied Ethics,"Ethical Use of New Technology (e.g. Nanotechnology, Biotechnology)",220103
Philosophy And Religious Studies,Applied Ethics,Human Rights and Justice Issues,220104
Philosophy And Religious Studies,Applied Ethics,Legal Ethics,220105
Philosophy And Religious Studies,Applied Ethics,Medical Ethics,220106
Philosophy And Religious Studies,Applied Ethics,Professional Ethics (incl. police and research ethics),220107
Philosophy And Religious Studies,Applied Ethics,Applied Ethics not elsewhere classified,220199
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,Business and Labour History,220201
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Education,220202
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Engineering and Technology,220203
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Law and Justice,220204
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Medicine,220205
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Science (incl. Non-historical Philosophy of Science),220206
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of the Humanities,220207
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of the Social Sciences,220208
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History of Ideas,220209
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History of Philosophy,220210
Philosophy And Religious Studies,History And Philosophy Of Specific Fields,History and Philosophy of Specific Fields not elsewhere classified,220299
Philosophy And Religious Studies,Philosophy,Aesthetics,220301
Philosophy And Religious Studies,Philosophy,Decision Theory,220302
Philosophy And Religious Studies,Philosophy,Environmental Philosophy,220303
Philosophy And Religious Studies,Philosophy,Epistemology,220304
Philosophy And Religious Studies,Philosophy,Ethical Theory,220305
Philosophy And Religious Studies,Philosophy,Feminist Theory,220306
Philosophy And Religious Studies,Philosophy,Hermeneutic and Critical Theory,220307
Philosophy And Religious Studies,Philosophy,Logic,220308
Philosophy And Religious Studies,Philosophy,Metaphysics,220309
Philosophy And Religious Studies,Philosophy,Phenomenology,220310
Philosophy And Religious Studies,Philosophy,Philosophical Psychology (incl. Moral Psychology and Philosophy of Action),220311
Philosophy And Religious Studies,Philosophy,Philosophy of Cognition,220312
Philosophy And Religious Studies,Philosophy,Philosophy of Language,220313
Philosophy And Religious Studies,Philosophy,Philosophy of Mind (excl. Cognition),220314
Philosophy And Religious Studies,Philosophy,Philosophy of Religion,220315
Philosophy And Religious Studies,Philosophy,Philosophy of Specific Cultures (incl. Comparative Philosophy),220316
Philosophy And Religious Studies,Philosophy,Poststructuralism,220317
Philosophy And Religious Studies,Philosophy,Psychoanalytic Philosophy,220318
Philosophy And Religious Studies,Philosophy,Social Philosophy,220319
Philosophy And Religious Studies,Philosophy,Philosophy not elsewhere classified,220399
Philosophy And Religious Studies,Religion And Religious Studies,Christian Studies (incl. Biblical Studies and Church History),220401
Philosophy And Religious Studies,Religion And Religious Studies,Comparative Religious Studies,220402
Philosophy And Religious Studies,Religion And Religious Studies,Islamic Studies,220403
Philosophy And Religious Studies,Religion And Religious Studies,Jewish Studies,220404
Philosophy And Religious Studies,Religion And Religious Studies,Religion and Society,220405
Philosophy And Religious Studies,Religion And Religious Studies,Studies in Eastern Religious Traditions,220406
Philosophy And Religious Studies,Religion And Religious Studies,"Studies in Religious Traditions (excl. Eastern, Jewish, Christian and Islamic Traditions)",220407
Philosophy And Religious Studies,Religion And Religious Studies,Religion and Religious Studies not elsewhere classified,220499
Philosophy And Religious Studies,Other Philosophy And Religious Studies,Philosophy and Religious Studies not elsewhere classified,229999
