,"Australian Bureau of Statistics Statistics New Zealand",,
"030399","Macromolecular and Materials Chemistry not elsewhere classified","250599p","Macromolecular Chemistry not elsewhere classified"
"030399","Macromolecular and Materials Chemistry not elsewhere classified","259999p","Chemical Sciences not elsewhere classified"
"030401","Biologically Active Molecules","250302p","Biological and Medical Chemistry "
"030402","Biomolecular Modelling and Design","250302p","Biological and Medical Chemistry "
"030403","Characterisation of Biological Macromolecules","250302p","Biological and Medical Chemistry "
"030404","Cheminformatics and Quantitative Structure-Activity Relationships","250302p","Biological and Medical Chemistry "
"030405","Molecular Medicine","250302p","Biological and Medical Chemistry "
"030406","Proteins and Peptides","250302p","Biological and Medical Chemistry "
"030499","Medicinal and Biomolecular Chemistry not elsewhere classified","250302p","Biological and Medical Chemistry "
"030501","Free Radical Chemistry","250399p","Organic Chemistry not elsewhere classified "
"030502","Natural Products Chemistry","250399p","Organic Chemistry not elsewhere classified "
"030503","Organic Chemical Synthesis ","250301","Organic Chemical Synthesis "
"030504","Organic Green Chemistry","250399p","Organic Chemistry not elsewhere classified "
"030505","Physical Organic Chemistry ","250303","Physical Organic Chemistry "
"030599","Organic Chemistry not elsewhere classified ","250399p","Organic Chemistry not elsewhere classified "
"030601","Catalysis and Mechanisms of Reactions","250102","Chemistry of Catalysis "
"030601","Catalysis and Mechanisms of Reactions","250106","Mechanisms of Reactions"
"030602","Chemical Thermodynamics and Energetics","250101","Chemical Thermodynamics and Energetics"
"030603","Colloid and Surface Chemistry","250103","Colloid and Surface Chemistry"
"030604","Electrochemistry ","250107","Electrochemistry "
"030605","Solution Chemistry","250199p","Physical Chemistry not elsewhere classified"
"030606","Structural Chemistry and Spectroscopy","250104","Chemical Spectroscopy"
"030606","Structural Chemistry and Spectroscopy","250105","Structural Chemistry "
"030607","Transport Properties and Non-Equilibrium Processes","250199p","Physical Chemistry not elsewhere classified"
"030699","Physical Chemistry not elsewhere classified","250199p","Physical Chemistry not elsewhere classified"
"030701","Quantum Chemistry","250601","Quantum Chemistry"
"030702","Radiation and Matter ","250604","Radiation and Matter "
"030703","Reaction Kinetics and Dynamics ","250603","Reaction Kinetics and Dynamics "
"030704","Statistical Mechanics in Chemistry","250602p","Statistical Mechanics"
"030799","Theoretical and Computational Chemistry not elsewhere classified","250699","Theoretical and Computational Chemistry not elsewhere classified"
"039901","Environmental Chemistry (incl. Atmospheric Chemistry)","259902","Environmental Chemistry (incl. Atmospheric Chemistry)"
"039902","Forensic Chemistry","259999p","Chemical Sciences not elsewhere classified"
"039903","Industrial Chemistry ","259903","Industrial Chemistry "
"039904","Organometallic Chemistry ","259901","Organometallic Chemistry "
"039999","Chemical Sciences not elsewhere classified","259999p","Chemical Sciences not elsewhere classified"
"040101","Atmospheric Aerosols","260699p","Atmospheric Sciences not elsewhere classified"
"040102","Atmospheric Dynamics","260699p","Atmospheric Sciences not elsewhere classified"
"040103","Atmospheric Radiation","260699p","Atmospheric Sciences not elsewhere classified"
"040104","Climate Change Processes","260602p","Climatology (incl. Palaeoclimatology)"
"040105","Climatology (excl. Climate Change Processes)","260602p","Climatology (incl. Palaeoclimatology)"
"040106","Cloud Physics","260699p","Atmospheric Sciences not elsewhere classified"
"040107","Meteorology","260601","Meteorology"
"040108","Tropospheric and Stratospheric Physics","260699p","Atmospheric Sciences not elsewhere classified"
"040199","Atmospheric Sciences not elsewhere classified","260699p","Atmospheric Sciences not elsewhere classified"
"040201","Exploration Geochemistry","260302","Exploration Geochemistry"
"040202","Inorganic Geochemistry","260304","Inorganic Geochemistry not elsewhere classified"
"040203","Isotope Geochemistry","260301p","Geochronology and Isotope Geochemistry"
"040204","Organic Geochemistry","260303","Organic Geochemistry not elsewhere classified"
"040299","Geochemistry not elsewhere classified","260399","Geochemistry not elsewhere classified"
"040299","Geochemistry not elsewhere classified","260301p","Geochronology and Isotope Geochemistry"
"040301","Basin Analysis","260199p","Geology not elsewhere classified"
"040302","Extraterrestrial Geology","260199p","Geology not elsewhere classified"
"040303","Geochronology","260109","Geochronology"
"040304","Igneous and Metamorphic Petrology","260102","Igneous and Metamorphic Petrology"
"040305","Marine Geoscience","260199p","Geology not elsewhere classified"
"040306","Mineralogy and Crystallography","260101","Mineralogy and Crystallography"
"040307","Ore Deposit Petrology","260106","Ore Deposit Petrology"
"040308","Palaeontology (incl. Palynology)","260112","Palaeontology"
"040308","Palaeontology (incl. Palynology)","260113","Palynology"
"040309","Petroleum and Coal Geology","260105","Petroleum Geology"
"040310","Sedimentology","260104","Sedimentology"
"040311","Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)","260110","Biostratigraphy"
"040311","Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy)","260111","Other Stratigraphy (incl. Sequence Stratigraphy)"
"040312","Structural Geology","260107","Structural Geology"
