,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"840303","Beneficiation or Dressing of Iron Ores",640301,"Beneficiation or Dressing of Iron Ores"
"840304","Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)",640306,"Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)"
"840305","Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores)",640304,"Concentrating Processes of Other Base Metal Ores"
"840306","Production of Unrefined Precious Metal Ingots and Concentrates",640305,"Production of Unrefined Precious Metal Ingots and Concentrates"
"840399","First Stage Treatment of Ores and Minerals not elsewhere classified","640399p","Other"
"849801","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)","640401p","Exploration"
"849801","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)","640402p","Primary Mining and Extraction Processes"
"849801","Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases)","640403p","First Stage Treatment of Ores and Minerals"
"849802","Management of Greenhouse Gas Emissions from Mineral Resource Activities","640401p","Exploration"
"849802","Management of Greenhouse Gas Emissions from Mineral Resource Activities","640402p","Primary Mining and Extraction Processes"
"849802","Management of Greenhouse Gas Emissions from Mineral Resource Activities","640403p","First Stage Treatment of Ores and Minerals"
"849803","Management of Liquid Waste from Mineral Resource Activities (excl. Water)","640401p","Exploration"
"849803","Management of Liquid Waste from Mineral Resource Activities (excl. Water)","640402p","Primary Mining and Extraction Processes"
"849803","Management of Liquid Waste from Mineral Resource Activities (excl. Water)","640403p","First Stage Treatment of Ores and Minerals"
"849804","Management of Solid Waste from Mineral Resource Activities","640401p","Exploration"
"849804","Management of Solid Waste from Mineral Resource Activities","640402p","Primary Mining and Extraction Processes"
"849804","Management of Solid Waste from Mineral Resource Activities","640403p","First Stage Treatment of Ores and Minerals"
"849805","Management of Water Consumption by Mineral Resource Activities","640401p","Exploration"
"849805","Management of Water Consumption by Mineral Resource Activities","640402p","Primary Mining and Extraction Processes"
"849805","Management of Water Consumption by Mineral Resource Activities","640403p","First Stage Treatment of Ores and Minerals"
"849899","Environmentally Sustainable Mineral Resource Activities not elsewhere classified","640401p","Exploration"
"849899","Environmentally Sustainable Mineral Resource Activities not elsewhere classified","640402p","Primary Mining and Extraction Processes"
"849899","Environmentally Sustainable Mineral Resource Activities not elsewhere classified","640403p","First Stage Treatment of Ores and Minerals"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified","640105p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified","640199p","Other Non-Metallic Minerals (incl. Diamonds)"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified","640205p","Other Non-Ferrous Ores (e.g. Copper, Zinc)"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified","640299p","Other Non-Metallic Minerals (incl. Diamonds)"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified","640399p","Other"
"850101","Coal Exploration",650102,"Coal"
"850102","Geothermal Exploration","650199p","Other"
"850103","Oil and Gas Exploration",650103,"Oil and Gas"
"850104","Oil Shale and Tar Sands Exploration",650104,"Oil Shale and Tar Sands"
"850105","Uranium Exploration",650101,"Uranium"
"850199","Energy Exploration not elsewhere classified","650199p","Other"
"850201","Coal Mining and Extraction",650202,"Coal"
"850202","Geothermal Energy Extraction","650299p","Other"
"850203","Oil and Gas Extraction",650203,"Oil and Gas"
"850204","Oil Shale and Tar Sands Mining and Extraction",650204,"Oil Shale and Tar Sands"
"850205","Uranium Mining and Extraction",650201,"Uranium"
"850299","Mining and Extraction of Energy Resources not elsewhere classified","650299p","Other"
"850301","Hydrogen Production from Fossil Fuels","659999p","Other (e.g. Safety)"
"850302","Hydrogen Production from Nuclear Energy","659999p","Other (e.g. Safety)"
"850303","Hydrogen Production from Renewable Energy","659999p","Other (e.g. Safety)"
"850304","Oil and Gas Refining",650303,"Oil and Gas"
"850304","Oil and Gas Refining","660105p","Refined Oil and Gas"
"850305","Preparation of Black Coal","650302p","Coal"
"850306","Preparation of Brown Coal (Lignite)","650302p","Coal"
"850307","Preparation of Oil Shale and Tar Sands",650304,"Oil Shale and Tar Sands"
"850308","Preparation of Uranium",650301,"Uranium"
"850309","Production of Biofuels (Biomass)","659999p","Other (e.g. Safety)"
"850399","Preparation and Production of Energy Sources not elsewhere classified",650399,"Energy Minerals not elsewhere classified"
"850401","Fuel Cells (excl. Solid Oxide)","660199p","Energy Transformation not elsewhere classified"
"850402","Hydrogen-based Energy Systems (incl. Internal Hydrogen Combustion Engines)","660199p","Energy Transformation not elsewhere classified"
"850403","Nuclear Energy",660104,"Nuclear"
"850404","Solid Oxide Fuel Cells","660199p","Energy Transformation not elsewhere classified"
"850405","Transformation of Black Coal into Electricity","660101p","Coal - Electricity"
"850406","Transformation of Brown Coal (Lignite) into Electricity","660101p","Coal - Electricity"
"850407","Transformation of Coal into Gaseous Fuels","660103p","Coal - Other Purposes"
"850408","Transformation of Coal into Liquid Fuels",660102,"Coal - Conversion to Liquids"
"850409","Transformation of Gas into Electricity","660105p","Refined Oil and Gas"
"850410","Transformation of Gas into Liquid Fuels",660106,"Gas - Conversion to Liquid Fuels"
"850499","Energy Transformation not elsewhere classified","660103p","Coal - Other Purposes"
"850499","Energy Transformation not elsewhere classified",660107,"Oil Shale and Tar Sands - Conversion to Liquid Fuels"
"850499","Energy Transformation not elsewhere classified","660199p","Energy Transformation not elsewhere classified"
"850501","Biofuel (Biomass) Energy","660299p","Renewable Energy not elsewhere classified (e.g. Geothermal)"
"850502","Geothermal Energy","660299p","Renewable Energy not elsewhere classified (e.g. Geothermal)"
"850503","Hydro-Electric Energy",660201,"Hydro-Electric"
"850504","Solar-Photovoltaic Energy",660205,"Solar-Photoelectric"
"850505","Solar-Thermal Electric Energy",660206,"Solar-Thermal Electric"
"850506","Solar-Thermal Energy",660204,"Solar-Thermal"
"850507","Tidal Energy","660203p","Ocean"
"850508","Wave Energy","660203p","Ocean"
"850509","Wind Energy",660202,"Wind"
"850599","Renewable Energy not elsewhere classified","660299p","Renewable Energy not elsewhere classified (e.g. Geothermal)"
"850601","Energy Services and Utilities",710101,"Electricity Services and Utilities"
"850601","Energy Services and Utilities",710102,"Gas Services and Utilities"
"850602","Energy Storage (excl. Hydrogen)","660303p","Energy Storage"
"850603","Energy Systems Analysis",660304,"Energy Systems Analysis"
"850604","Energy Transmission and Distribution (excl. Hydrogen)",660301,"Electricity Transmission"
"850604","Energy Transmission and Distribution (excl. Hydrogen)",660302,"Gas Distribution"
"850605","Hydrogen Distribution","660399p","Energy Distribution not elsewhere classified"
"850606","Hydrogen Storage","660303p","Energy Storage"
"850699","Energy Storage, Distribution and Supply not elsewhere classified","660399p","Energy Distribution not elsewhere classified"
"850701","Commercial Energy Conservation and Efficiency","660402p","Residential and Commercial"
"850702","Energy Conservation and Efficiency in Transport",660403,"Transport"
"850703","Industrial Energy Conservation and Efficiency",660401,"Industry"
"850704","Residential Energy Conservation and Efficiency","660402p","Residential and Commercial"
"850799","Energy Conservation and Efficiency not elsewhere classified",660499,"Other "
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","650401p","Exploration"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","650402p","Mining and Extraction"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","650403p","Preparation and Supply of Energy Source Minerals"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","660501p","Energy Transformation"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","660502p","Renewable Energy"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","660503p","Energy Storage and Distribution"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)","660504p","Conservation and Efficiency"
"859802","Management of Greenhouse Gas Emissions from Electricity Generation","660501p","Energy Transformation"
"859802","Management of Greenhouse Gas Emissions from Electricity Generation","660502p","Renewable Energy"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","650401p","Exploration"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","650402p","Mining and Extraction"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","650403p","Preparation and Supply of Energy Source Minerals"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","660503p","Energy Storage and Distribution"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)","660504p","Conservation and Efficiency"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","650401p","Exploration"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","650402p","Mining and Extraction"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","650403p","Preparation and Supply of Energy Source Minerals"
