,"Australian Bureau of Statistics Statistics New Zealand",,
270502,"Neurobiology ","060805","Animal Neurobiology "
270503,"Animal Anatomy and Histology ","060807","Animal Structure and Function"
270504,"Invertebrate Biology ","060808","Invertebrate Biology "
270599,"Zoology not elsewhere classified ","060801","Animal Behaviour"
270599,"Zoology not elsewhere classified ","060802","Animal Cell and Molecular Biology"
270599,"Zoology not elsewhere classified ","060803","Animal Developmental and Reproductive Biology"
270599,"Zoology not elsewhere classified ","060804","Animal Immunology"
270599,"Zoology not elsewhere classified ","060806","Animal Physiological Ecology"
270599,"Zoology not elsewhere classified ","060809","Vertebrate Biology"
270599,"Zoology not elsewhere classified ","060899","Zoology not elsewhere classified "
270601,"Animal Physiology - Biophysics ","060601","Animal Physiology - Biophysics "
